@relation Simpsons
@attribute qtdPixel numeric
@attribute qtdColors numeric
@attribute qtdPixeisBorda numeric
@attribute corPredominante {247.99.16,0.8.132,189.173.107,0.107.173,255.0.0,0.156.222,0.66.132,149.189.30,0.189.0,82.140.24,8.165.255}
@attribute color1 numeric
@attribute color2 numeric
@attribute color3 numeric
@attribute color4 numeric
@attribute color5 numeric
@attribute qtdBranco numeric
@attribute qtdPreto numeric
@attribute qtdVermelho numeric
@attribute qtdLaranja numeric
@attribute qtdAzulEscuro numeric
@attribute qtdAzulClaro numeric
@attribute qtdMarromClaro numeric
@attribute class {Bart,Lisa,Marge,Maggie,Homer}
@data
38976,254,2719,255.0.0,197379,392700,937456,5990516,13094362,25591,295,1766,0,0,0,0,Lisa
56994,250,2805,255.0.0,131587,343550,3601827,10970702,12491983,27527,0,1493,0,0,0,0,Lisa
31030,253,716,255.0.0,65795,293374,2789458,9529209,13686497,16084,429,2638,0,0,0,0,Lisa
32725,246,597,255.0.0,65794,211967,261887,7173789,11518682,21090,28,3032,0,0,0,0,Lisa
39856,247,908,255.0.0,65794,327423,607994,6513257,10203090,25019,61,2514,0,0,0,0,Lisa
218784,241,2810,255.0.0,131331,1076479,13983801,15791612,16248197,128245,12713,8484,5300,0,4275,0,Lisa
30400,250,954,255.0.0,66051,489981,8146244,9086410,13883874,15670,194,2154,0,0,0,0,Lisa
51975,253,1211,255.0.0,324339,459781,542973,8033726,13682642,32888,29,2427,0,17,0,0,Lisa
38804,255,817,255.0.0,131588,411388,589310,7439789,13544420,19579,351,2443,0,0,0,0,Lisa
51548,253,662,255.0.0,199176,589310,738532,11297902,12570073,31543,114,826,0,0,0,0,Lisa
55332,254,1339,255.0.0,65794,277758,5918270,8102298,9630710,30789,935,662,0,0,0,0,Lisa
46460,253,1835,255.0.0,65794,487675,2969206,9348799,14542418,31857,0,1040,764,0,0,130,Lisa
23302,249,601,255.0.0,197379,409088,458752,8357553,12835564,11592,72,2536,0,0,0,0,Lisa
35948,251,1004,255.0.0,131587,211967,785146,7111084,12240594,23326,116,681,0,0,0,0,Lisa
37556,250,844,255.0.0,131587,211967,392959,6846884,12242909,21746,48,2881,0,0,0,0,Lisa
66960,249,1181,255.0.0,65794,211708,261373,8753312,15885357,50693,64,2734,3,0,678,25,Lisa
58077,250,1607,255.0.0,289276,459526,2315640,10266034,13751627,31519,0,1645,704,0,0,120,Lisa
19305,251,565,255.0.0,131587,146174,523260,6254996,13160668,9150,121,1243,0,0,0,0,Lisa
41184,250,768,255.0.0,65794,227070,4408396,7247025,12041672,23910,0,3584,0,0,0,0,Lisa
31820,236,748,255.0.0,65794,80639,196350,5664411,12501450,17676,17,3548,0,0,0,0,Lisa
33674,252,995,255.0.0,65794,295165,4146504,8230063,12896207,23062,66,2150,0,0,0,0,Lisa
16284,246,476,255.0.0,131587,277758,589053,7176097,12633809,8130,0,1152,0,0,0,0,Lisa
29887,248,583,0.189.0,131844,671487,3991542,8230079,14805751,14721,720,0,0,0,0,0,Lisa
26019,240,511,255.0.0,65794,671487,5396066,6924260,13752560,13777,179,135,0,0,0,0,Lisa
44247,254,822,255.0.0,65794,196608,1263104,5924206,13097202,18875,643,6577,0,0,0,0,Lisa
77671,252,1770,0.189.0,65794,1727203,6575425,10860974,14410728,52398,633,0,0,0,0,0,Lisa
62192,238,772,0.189.0,66307,299861,1131520,8625858,15725818,31730,1926,0,0,0,0,0,Lisa
47736,252,1110,255.0.0,65794,258547,1262846,4559264,13884386,31276,812,2468,0,0,0,0,Lisa
64064,252,1539,255.0.0,66051,944890,4423296,11123397,15988730,34768,3276,2378,0,0,0,23,Lisa
65199,248,665,255.0.0,65794,883968,6381681,9879534,15725565,37034,1577,6977,0,0,0,0,Lisa
34935,247,652,255.0.0,65794,262144,1262592,5922926,11915249,16664,106,3866,0,0,0,0,Lisa
40890,243,638,8.165.255,131587,147170,6205639,15658992,16277253,16872,2333,341,0,0,10271,0,Maggie
60939,247,747,0.156.222,65794,1200128,10791354,16053495,16737316,32554,2269,648,0,0,11319,0,Maggie
40092,250,830,0.156.222,131587,1047806,2121691,10659509,16409637,22366,0,95,0,0,2750,0,Maggie
41040,252,1332,0.156.222,131587,485868,6315359,12632515,16671523,18370,0,172,0,0,4893,0,Maggie
26400,251,556,0.156.222,65795,873151,8091267,12298463,16605986,14335,41,152,0,0,2263,0,Maggie
13482,252,478,0.156.222,328965,868601,980981,11447735,16344104,6049,54,322,0,0,2800,0,Maggie
15189,253,791,255.0.0,131330,443390,6577782,11843013,16605988,9357,10,1800,0,0,1437,0,Maggie
25650,254,1140,0.156.222,197123,412589,7507098,13093325,16409124,10313,0,96,0,0,237,49,Maggie
38976,253,699,0.156.222,131588,479998,13619932,16540709,16606973,20168,805,373,0,0,5909,0,Maggie
47637,251,647,255.0.0,65794,474623,654846,11365185,13359066,22677,212,3672,0,0,2675,0,Maggie
92988,252,999,247.99.16,65794,827887,1722582,10851476,15527921,44831,5574,717,15045,0,733,2865,Maggie
46750,251,1114,0.156.222,65794,543473,8480357,11186625,16605987,33977,0,206,0,0,4455,0,Maggie
50652,255,1210,247.99.16,131588,417017,10529204,13818955,16605987,26403,0,179,3797,0,3152,0,Maggie
32512,254,747,0.156.222,132613,879802,5264221,8746918,16343588,17135,0,32,0,0,1323,0,Maggie
41405,254,1029,0.156.222,65794,424694,7501946,10339797,16671523,22974,0,1990,0,0,4743,0,Maggie
35964,255,584,0.156.222,65795,284412,8292251,14146534,16537210,18738,698,476,0,0,4163,0,Maggie
12319,254,383,0.156.222,197381,539894,1239789,10198441,16540451,6226,0,61,0,0,1849,0,Maggie
9625,251,313,0.156.222,197380,542456,8225683,12699083,16605987,4370,0,33,0,0,1693,0,Maggie
13559,252,370,0.156.222,197381,343034,7049887,14343395,16540452,5079,400,170,0,0,2080,24,Maggie
24960,253,486,0.156.222,131587,408828,7639715,13422035,16605988,13298,45,125,0,0,4402,8,Maggie
45980,251,672,0.189.0,131587,737278,4889793,12960966,13464882,25725,0,0,0,0,0,0,Maggie
17161,252,529,0.189.0,131587,936954,7164743,10723507,11854325,9073,233,0,0,0,0,0,Maggie
58447,253,823,0.189.0,65795,738560,9156582,13464878,16052980,28544,2663,0,0,0,0,9,Maggie
